time,seconds_elapsed,z,y,x
1683691942594702300,0.036702392578125,0.029698388171195984,-1.4666852482110262,-1.000005747964233
1683691942604673300,0.04667333984375,-0.3823129716902971,-2.2057713844045996,-1.012253600445017
1683691942614645200,0.056645263671875,-0.31835750913023947,-2.6687030764251944,-0.8884932921983301
1683691942624616400,0.066616455078125,-0.056851768034696576,-2.34711929872483,-0.8402003128681331
1683691942634588200,0.076588134765625,0.17008476398289202,-1.7478744716808199,-1.1227617745392025
1683691942644559400,0.086559326171875,0.4537777869671583,-1.3692691223368048,-1.4855100679293274
1683691942654526500,0.0965263671875,1.0042150362223385,-1.0857558398336171,-1.5913047305703163
1683691942664498700,0.106498779296875,1.6325801592886446,-0.7570709979563951,-1.383738961715996
1683691942674469400,0.116469482421875,2.011048730510473,-0.4400508749097585,-0.8586213010258972
1683691942684441600,0.126441650390625,2.035707370948791,-0.12970569958239794,-0.3123722972407937
1683691942694412500,0.13641259765625,2.447512979105115,0.08800327762365341,0.028135449703410267
1683691942704384500,0.146384521484375,3.25574133284688,0.49503100385367865,0.4358061500120908
1683691942714355500,0.15635546875,4.132752130913734,1.0222539662599563,-0.030402079461142418
1683691942724326700,0.16632666015625,5.182229035142064,1.349772102445364,0.26595344121940434
1683691942734298400,0.17629833984375,5.756520622715354,1.5441975269585846,0.6418611489772796
1683691942744269600,0.18626953125,5.693057912108301,2.1057585200354456,1.043156615165621
1683691942754241500,0.196241455078125,5.441632835522293,2.3166356053948403,1.6868018710806965
1683691942764212700,0.206212646484375,5.171476170459389,1.9661317304193973,1.2971575335890053
1683691942774183400,0.216183349609375,4.823839959874749,1.6579235671207309,0.20700506623163817
1683691942784155600,0.22615576171875,4.583949838259816,1.7025468449622392,-0.9202613262504339
1683691942794126600,0.236126708984375,4.196975304499269,2.0618454362899064,-1.9977320066891608
1683691942804098600,0.2460986328125,4.253969695875049,2.9821304356768725,-1.8886252968907355
1683691942814069500,0.256069580078125,4.226357466328144,3.843718039162457,-1.0140316429682075
1683691942824040700,0.266040771484375,4.230994478479028,4.018987512306869,0.09304244083464146
1683691942834012400,0.276012451171875,4.2499791649341585,3.423518988931179,1.050142090138793
1683691942843983600,0.285983642578125,4.074882710269093,2.9742145479857918,1.1087059227883815
1683691942853955600,0.29595556640625,3.967039590665698,3.463046989460289,0.47176527907848353
1683691942863926500,0.305926513671875,3.1202772158682346,5.095677125370502,-0.7871087010845541
1683691942873898500,0.3158984375,1.930947019791603,7.474093771895766,-1.257711658385396
1683691942883869700,0.32586962890625,0.875189427858591,8.060900557649136,-2.0317653553247452
1683691942893840600,0.335840576171875,-1.6716449262201785,6.941130804532766,-3.008082915318012
1683691942903812600,0.3458125,-2.8662299740850923,6.5361746238797895,-3.0283021120041607
1683691942913783600,0.355783447265625,-4.015570689600706,6.208422094416618,-3.964440806344151
1683691942923755500,0.365755615234375,-4.825220600578189,5.402271715992689,-4.856598904660344
1683691942933726500,0.3757265625,-5.194606870678067,4.323333154958486,-5.2033098170936105
1683691942943697400,0.385697509765625,-5.442076487636566,3.1406019187554715,-6.104857675045729
1683691942953669600,0.395669677734375,-5.569459589490294,1.0912984225220979,-6.2361518128633495
1683691942963640600,0.405640625,-6.208800280079245,-0.36337438939921557,-4.964474757489562
1683691942973612500,0.415612548828125,-5.982393324893713,-1.6921851715542375,-4.188403875508905
1683691942983583700,0.425583740234375,-5.509730220192671,-2.422519992145896,-4.426451584127545
1683691942993554700,0.4355546875,-5.13499557480216,-2.9035055195122954,-3.8771336942911145
1683691943003526700,0.445526611328125,-5.372167085108161,-3.3539287353545424,-3.692216102835536
1683691943013497600,0.45549755859375,-5.462623601102829,-3.562482638463378,-3.8625750075846907
1683691943023469600,0.465469482421875,-5.490971159186959,-3.9698654617413878,-3.6709517810106274
1683691943033440500,0.4754404296875,-5.243230324071646,-4.816181554076075,-4.371666100972891
1683691943043411500,0.485411376953125,-5.341249968796968,-7.617491604483127,-6.409311746507883
1683691943053383700,0.4953837890625,-4.785483048951625,-13.690596881437301,-11.708560310399532
1683691943063354400,0.505354248046875,-2.5574071860194203,-14.911031825351714,-11.963008534198998
1683691943073326600,0.51532666015625,-2.029400964280963,-11.863643320083618,-9.036172407981752
1683691943083297500,0.525297607421875,-2.8098025689423083,-8.79715848467946,-5.407711276698112
1683691943093269500,0.53526953125,-2.4859306803047656,-3.614278876674175,-1.8711837482243776
1683691943103240400,0.545240478515625,-2.7446482519865034,-0.3058212681621313,0.937909795665741
1683691943113211600,0.555211669921875,-3.3420728778660296,1.2115895202882587,4.328113959494233
1683691943123183600,0.56518359375,-3.8490181913971897,2.4967048800364133,6.653667615360021
1683691943133154600,0.575154541015625,-3.165473032900691,3.7306414028197525,8.824764869007467
1683691943143126500,0.58512646484375,-2.5676924331903455,5.128434901112318,5.118161928901076
1683691943153097700,0.59509765625,-2.1412702706605193,7.707740030685066,8.005534644258022
1683691943163068400,0.605068359375,1.2609843964457512,6.197994223904609,10.413774182116985
1683691943173040600,0.61504052734375,1.5584721360266207,4.7569437676876785,6.467521358892321
1683691943183011600,0.625011474609375,4.447750977265835,1.6604846497803925,1.7340847235202788
1683691943192983600,0.634983642578125,4.614724331229925,-0.6957786171257495,-2.6237527585864067
