time,seconds_elapsed,z,y,x
1684125136258623000,31.347623046875,0.7423267255499959,0.9447375958591699,-0.36345746457278727
1684125136268591900,31.357591796875,0.8349804593279957,0.7898316963076591,0.4433505009770393
1684125136278561800,31.367561767578124,1.1569500214755535,0.7509399478554725,0.6024982758820057
1684125136288531000,31.377531005859375,1.1964530336938797,1.0271902536183595,0.07287643564045429
1684125136298500900,31.3875009765625,0.8391489771842956,1.5736884098589419,-0.935054406234622
1684125136308471000,31.397470947265624,0.5019339151099323,2.2160610154896974,-1.8676473907917737
1684125136318440000,31.40743994140625,0.5102032924138009,2.865950572621822,-2.5906623898893595
1684125136328409900,31.417409912109374,0.029811639287322757,3.37055078433156,-3.1139731472879646
1684125136338379000,31.42737890625,-0.07789689415097237,3.6039129654824733,-3.4818975281417366
1684125136348349000,31.437348876953124,0.034731413902342315,3.528723576724529,-3.469496311730146
1684125136358318800,31.44731884765625,0.13460136266946793,3.3800609554767607,-2.9245243421435356
1684125136368287700,31.457287841796877,0.19032734154462813,3.2862007685184476,-2.4427929648458955
1684125136378258000,31.4672578125,0.4905120651245117,3.231143482685089,-1.8431635223984717
1684125136388227800,31.477227783203126,-0.0006429740786552428,3.507313124427199,-1.3613432977735995
1684125136398197000,31.487197021484373,-0.4860604925431311,3.885324015009403,-1.2414677950710058
1684125136408167000,31.4971669921875,-0.6796506352759897,4.305287210658192,-1.433620598477125
1684125136418135800,31.5071357421875,-0.42751448781117796,4.7614276351034635,-1.929156629243493
1684125136428105700,31.517105712890626,-0.048226416900008916,5.308055555203556,-2.5139134967297316
1684125136438076000,31.527075927734376,0.4995755154155194,6.052685004737973,-3.1195629301190375
1684125136448044800,31.537044921875,1.2776887168787419,6.9006900730729095,-3.755498780700564
1684125136458015000,31.547014892578126,1.7225344248495995,7.591990083479881,-4.351667853561043
1684125136467984000,31.55698388671875,2.6221792256593703,8.05839003613293,-4.859207625854015
1684125136477953800,31.566953857421876,3.5657904478371143,8.212340242394804,-5.564726715749502
1684125136487924000,31.576924072265626,4.236439299881458,8.208213517853617,-6.429154511097074
1684125136497892900,31.586892822265625,4.124394636934995,8.516525433787702,-7.235559741064906
